Processing_Method,ROC,Accuracy,F1 Score,Recall,Precision
Unprocessed,0.8490395887451022,0.782258064516129,0.7892747555483058,0.8044829482948295,0.782258064516129
InvertedColors,0.8989957823431585,0.8521505376344086,0.8539791554093301,0.8690092165898617,0.8521505376344086
Outline,0.8829512873241453,0.8306451612903226,0.8273262571694523,0.8450136705399863,0.8306451612903226
Contour,0.9353797556824758,0.8924731182795699,0.8923621371268332,0.9185928113226759,0.89247311827957
Blurred_Outline,0.8471782560363268,0.782258064516129,0.7810888155792971,0.7975597602926796,0.782258064516129
Dilated_Outline,0.8862581305571732,0.8306451612903226,0.8251120222891614,0.8502428897169882,0.8306451612903225
